ligand;count
decoy-486;23
decoy-1052;22
decoy-725;19
decoy-476;17
decoy-666;17
decoy-700;17
decoy-903;16
decoy-257;15
decoy-44;15
decoy-282;14
decoy-558;14
decoy-274;10
decoy-798;10
decoy-32;9
decoy-516;9
decoy-539;9
decoy-1037;8
decoy-819;8
decoy-1010;7
decoy-208;7
decoy-848;7
decoy-889;7
decoy-1059;6
decoy-330;6
decoy-415;6
decoy-560;6
decoy-865;6
decoy-994;6
decoy-125;5
decoy-182;5
decoy-61;5
decoy-615;5
decoy-930;5
decoy-102;4
decoy-254;4
decoy-693;4
decoy-70;4
decoy-707;4
decoy-955;4
decoy-1021;3
decoy-1025;3
decoy-184;3
decoy-197;3
decoy-24;3
decoy-247;3
decoy-270;3
decoy-288;3
decoy-393;3
decoy-421;3
decoy-464;3
decoy-568;3
decoy-737;3
decoy-863;3
decoy-892;3
decoy-136;2
decoy-143;2
decoy-15;2
decoy-236;2
decoy-258;2
decoy-33;2
decoy-334;2
decoy-441;2
decoy-490;2
decoy-492;2
decoy-498;2
decoy-53;2
decoy-552;2
decoy-614;2
decoy-726;2
decoy-745;2
decoy-747;2
decoy-755;2
decoy-762;2
decoy-766;2
decoy-825;2
decoy-828;2
decoy-858;2
decoy-904;2
decoy-909;2
decoy-922;2
decoy-924;2
decoy-981;2
decoy-1002;1
decoy-1015;1
decoy-1023;1
decoy-1032;1
decoy-1053;1
decoy-150;1
decoy-158;1
decoy-164;1
decoy-172;1
decoy-179;1
decoy-180;1
decoy-221;1
decoy-23;1
decoy-238;1
decoy-244;1
decoy-269;1
decoy-276;1
decoy-303;1
decoy-309;1
decoy-31;1
decoy-324;1
decoy-325;1
decoy-339;1
decoy-340;1
decoy-347;1
decoy-35;1
decoy-351;1
decoy-395;1
decoy-4;1
decoy-407;1
decoy-416;1
decoy-431;1
decoy-436;1
decoy-445;1
decoy-446;1
decoy-453;1
decoy-463;1
decoy-523;1
decoy-550;1
decoy-561;1
decoy-567;1
decoy-576;1
decoy-586;1
decoy-597;1
decoy-604;1
decoy-610;1
decoy-646;1
decoy-652;1
decoy-667;1
decoy-677;1
decoy-709;1
decoy-730;1
decoy-756;1
decoy-761;1
decoy-770;1
decoy-782;1
decoy-788;1
decoy-811;1
decoy-815;1
decoy-831;1
decoy-837;1
decoy-860;1
decoy-867;1
decoy-880;1
decoy-913;1
decoy-914;1
decoy-968;1
decoy-984;1
